EIN2,CENSUS_CSA_FIPS,CENSUS_CBSA_FIPS,CENSUS_CBSA_NAME,CENSUS_CBSA_LEGAL_NAME,CENSUS_CBSA_LEGAL_CODE,geometry,CENSUS_BLOCK_CODE,CENSUS_BLOCK_FIPS,CENSUS_BLOCK_NAME,CENSUS_URBAN_AREA,CENSUS_URBAN_AREA_CODE,CENSUS_URBAN_AREA_TYPE,CENSUS_FUNCTIONAL_STATUS,CENSUS_BLOCK_HOUSING_UNIT_COUNT,CENSUS_BLOCK_POPULATION_COUNT,CENSUS_STATE_FIPS,CENSUS_COUNTY_FIPS,CENSUS_TRACT_CODE,CENSUS_TRACT_FIPS,CENSUS_TRACT_NAME,CENSUS_STATE_ABBR,CENSUS_COUNTY_NAME,CENSUS_STATE_NAME,ORG_FISCAL_YEAR,ORG_ADDR_FULL,ORG_ADDR_MATCH,LONGITDUE,LATITUDE,ADDR_TYPE,GEOCODER_SCORE,GEOCODER_MATCH
EIN-00-0000000,,,,,,0|0,,,,,,,,,,,,,,,,,,1996,",,",,0,0,,0,U
EIN-00-2027721,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.7821724|40.9114023000001,3004,361190060003004,Block 3004,U,63217,U,S,0,0,36,119,6000,36119006000,Census Tract 60,NY,Westchester County,New York,2010,"PO BOX 124,NEW ROCHELLE,NY,10802","10802, New Rochelle, New York",-73.7821724,40.9114023000001,Postal,98,M
EIN-00-2027756,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-74.172492|40.734801,1025,340130080001025,Block 1025,U,63217,U,S,0,0,34,13,8000,34013008000,Census Tract 80,NJ,Essex County,New Jersey,1989,"NEWARK,NJ,07102-2727","07102-2727, Newark, New Jersey",-74.172492,40.734801,PostalExt,100,M
EIN-00-2028032,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-74.0772|41.119893,2005,360870121112005,Block 2005,U,63217,U,S,16,73,36,87,12111,36087012111,Census Tract 121.11,NY,Rockland County,New York,1989,"MONSEY,NY,10952-2498","10952-2498, Monsey, New York",-74.0772,41.119893,PostalExt,100,M
EIN-00-2028044,348,31080,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA Metro Area",M1,-118.601606226614|34.1683921227131,2000,60371375022000,Block 2000,U,51445,U,S,16,190,6,37,137502,6037137502,Census Tract 1375.02,CA,Los Angeles County,California,2010,"21731 VENTURA BLVD STE 300,WOODLAND HLS,CA,91364","21731 Ventura Blvd, Ste 300, Woodland Hills, California, 91364",-118.601606226614,34.1683921227131,Subaddress,100,M
EIN-00-2028122,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.949922|41.044221,2009,360870130022009,Block 2009,U,63217,U,S,101,164,36,87,13002,36087013002,Census Tract 130.02,NY,Rockland County,New York,1989,"ORANGEBURG,NY,10962-2193","10962-2193, Orangeburg, New York",-73.949922,41.044221,PostalExt,100,M
EIN-00-2028256,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.9382563372969|40.8150475337608,1001,360610212001001,Block 1001,U,63217,U,S,562,1388,36,61,21200,36061021200,Census Tract 212,NY,New York County,New York,1989,"HARLEM,NY,10037-0000","10037, Harlem, New York, New York",-73.9382563372969,40.8150475337608,PostalLoc,100,M
EIN-00-2028280,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.774692|40.760703,3002,360811467003002,Block 3002,U,63217,U,S,62,170,36,81,146700,36081146700,Census Tract 1467,NY,Queens County,New York,2011,"4240 CORPORAL KENNEDY ST,BAYSIDE,NY,11361","42-40 Corporal Kennedy St, Bayside, New York, 11361",-73.774692,40.760703,PointAddress,99.97,M
EIN-00-2028474,548,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",M1,-77.0596392686538|38.8043224413695,3001,515102007053001,Block 3001,U,92242,U,S,0,0,51,510,200705,51510200705,Census Tract 2007.05,VA,Alexandria city,Virginia,2010,"1701 DUKE ST STE 200,ALEXANDRIA,VA,22314","1701 Duke St, Ste 200, Alexandria, Virginia, 22314",-77.0596392686538,38.8043224413695,Subaddress,100,M
EIN-00-2028709,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.9801305|40.756419,1000,360610096001000,Block 1000,U,63217,U,S,7,13,36,61,9600,36061009600,Census Tract 96,NY,New York County,New York,1989,"NEW YORK,NY,10036-4503","10036-4503, New York, New York",-73.9801305,40.756419,PostalExt,100,M
EIN-00-2028847,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.9388205|40.845087,4005,360610263004005,Block 4005,U,63217,U,S,79,196,36,61,26300,36061026300,Census Tract 263,NY,New York County,New York,1989,"NEW YORK,NY,10033-3785","10033-3785, New York, New York",-73.9388205,40.845087,PostalExt,100,M
EIN-00-2030132,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.9823895|40.74543,2002,360610072002002,Block 2002,U,63217,U,S,254,467,36,61,7200,36061007200,Census Tract 72,NY,New York County,New York,1989,"NEW YORK,NY,10016-6901","10016-6901, New York, New York",-73.9823895,40.74543,PostalExt,100,M
EIN-00-2030157,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.9453815|40.791798,4002,360610172004002,Block 4002,U,63217,U,S,211,386,36,61,17200,36061017200,Census Tract 172,NY,New York County,New York,1989,"NEW YORK,NY,10029-4638","10029-4638, New York, New York",-73.9453815,40.791798,PostalExt,100,M
EIN-00-2030217,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-74.0058795|40.710231,1011,360610015011011,Block 1011,U,63217,U,S,44,752,36,61,1501,36061001501,Census Tract 15.01,NY,New York County,New York,1989,"NEW YORK,NY,10038-2606","10038-2606, New York, New York",-74.0058795,40.710231,PostalExt,100,M
EIN-00-2030417,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.9701315|40.788234,4000,360610173004000,Block 4000,U,63217,U,S,769,1169,36,61,17300,36061017300,Census Tract 173,NY,New York County,New York,1989,"NEW YORK,NY,10024-2002","10024-2002, New York, New York",-73.9701315,40.788234,PostalExt,100,M
EIN-00-2030711,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-74.1628245515901|40.7699429625196,3005,340130096003005,Block 3005,U,63217,U,S,120,382,34,13,9600,34013009600,Census Tract 96,NJ,Essex County,New Jersey,2024,"569 BROADWAY,NEWARK,NJ,07104-4132","569 Broadway, Newark, New Jersey, 07104",-74.1628245515901,40.7699429625196,PointAddress,100,M
EIN-00-2030781,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.9769085|40.754214,2005,360610092002005,Block 2005,U,63217,U,S,0,0,36,61,9200,36061009200,Census Tract 92,NY,New York County,New York,1989,"NEW YORK,NY,10169-0001","10169-0001, New York, New York",-73.9769085,40.754214,PostalExt,100,M
EIN-00-2030973,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.992699|40.759263,2000,360610121022000,Block 2000,U,63217,U,S,856,1289,36,61,12102,36061012102,Census Tract 121.02,NY,New York County,New York,1989,"NEW YORK,NY,10036-6302","10036-6302, New York, New York",-73.992699,40.759263,PostalExt,100,M
EIN-00-2030974,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.8900596178965|40.7613548453282,2003,360810309042003,Block 2003,U,63217,U,S,93,132,36,81,30904,36081030904,Census Tract 309.04,NY,Queens County,New York,2007,"JACKSON HEIGHTS,NY,11370","11370, Jackson Heights, New York, New York",-73.8900596178965,40.7613548453282,PostalLoc,100,M
EIN-00-2031050,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.9728585|40.7925,6001,360610179006001,Block 6001,U,63217,U,S,340,656,36,61,17900,36061017900,Census Tract 179,NY,New York County,New York,1989,"NEW YORK,NY,10025-7493","10025-7493, New York, New York",-73.9728585,40.7925,PostalExt,100,M
EIN-00-2031206,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.9764049999999|40.7516350000001,2008,360610092002008,Block 2008,U,63217,U,S,5,40,36,61,9200,36061009200,Census Tract 92,NY,New York County,New York,1989,"NEW YORK,NY,10168-0005","10168, New York, New York",-73.9764049999999,40.7516350000001,Postal,100,M
EIN-00-2031337,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.97791|40.74564,4001,360610078004001,Block 4001,U,63217,U,S,61,130,36,61,7800,36061007800,Census Tract 78,NY,New York County,New York,1989,"NEW YORK,NY,10016-9397","10016, New York, New York",-73.97791,40.74564,Postal,100,M
EIN-00-2031830,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-74.007965|40.705495,6000,360610007006000,Block 6000,U,63217,U,S,836,1130,36,61,700,36061000700,Census Tract 7,NY,New York County,New York,1989,"NEW YORK,NY,10005-0000","10005, New York, New York",-74.007965,40.705495,Postal,100,M
EIN-00-2032112,104,10580,"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY Metro Area",M1,-73.763118|42.65658,1000,360010014001000,Block 1000,U,970,U,S,77,115,36,1,1400,36001001400,Census Tract 14,NY,Albany County,New York,1989,"ALBANY,NY,12210-2314","12210-2314, Albany, New York",-73.763118,42.65658,PostalExt,100,M
EIN-00-2032311,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.98189|40.746087,2001,360610072002001,Block 2001,U,63217,U,S,1,39,36,61,7200,36061007200,Census Tract 72,NY,New York County,New York,1989,"NEW YORK,NY,10016-5802","10016-5802, New York, New York",-73.98189,40.746087,PostalExt,100,M
EIN-00-2032317,370,33100,"Miami-Fort Lauderdale-Pompano Beach, FL","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",M1,-80.0378699999999|26.7057400000001,1004,120990035131004,Block 1004,U,56602,U,S,27,20,12,99,3513,12099003513,Census Tract 35.13,FL,Palm Beach County,Florida,1989,"PALM BEACH,FL,33480-0000","33480, Palm Beach, Florida",-80.0378699999999,26.7057400000001,Postal,100,M
EIN-00-2032342,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.6906231|41.2560425,3025,361190126003025,Block 3025,U,63217,U,S,64,177,36,119,12600,36119012600,Census Tract 126,NY,Westchester County,New York,1989,"KATONAH,NY,10536-0000","10536, Katonah, New York",-73.6906231,41.2560425,Postal,100,M
EIN-00-2032540,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.98263|40.7756800000001,3000,360610153023000,Block 3000,U,63217,U,S,579,1050,36,61,15302,36061015302,Census Tract 153.02,NY,New York County,New York,1989,"NEW YORK,NY,10023-0000","10023, New York, New York",-73.98263,40.7756800000001,Postal,100,M
EIN-00-2032570,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.727181|41.20551,3000,361190129003000,Block 3000,U,63217,U,S,107,332,36,119,12900,36119012900,Census Tract 129,NY,Westchester County,New York,1989,"MT KISCO,NY,10549-2303","10549-2303, Mount Kisco, New York",-73.727181,41.20551,PostalExt,100,M
EIN-00-2032573,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.7806095|41.0364,3002,361190091003002,Block 3002,U,63217,U,S,0,0,36,119,9100,36119009100,Census Tract 91,NY,Westchester County,New York,1989,"WHITE PLAINS,NY,10606-3399","10606-3399, White Plains, New York",-73.7806095,41.0364,PostalExt,100,M
EIN-00-2032798,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.9764330204797|40.7515654028966,5000,360610080005000,Block 5000,U,63217,U,S,0,0,36,61,8000,36061008000,Census Tract 80,NY,New York County,New York,2010,"122 E 42ND ST,NEW YORK,NY,10168","122 E 42nd St, New York, New York, 10168",-73.9764330204797,40.7515654028966,StreetAddress,100,M
EIN-00-2033465,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-74.01105|40.708584,3000,360610013003000,Block 3000,U,63217,U,S,0,6,36,61,1300,36061001300,Census Tract 13,NY,New York County,New York,1989,"NEW YORK,NY,10006-1901","10006-1901, New York, New York",-74.01105,40.708584,PostalExt,100,M
EIN-00-2033617,,35020,"Natchez, MS-LA","Natchez, MS-LA Micro Area",M2,-91.39948|31.56028,2037,280010007002037,Block 2037,U,61327,U,S,22,25,28,1,700,28001000700,Census Tract 7,MS,Adams County,Mississippi,1989,"NATCHEZ,MS,39120-1207","39120, Natchez, Mississippi",-91.39948,31.56028,Postal,100,M
EIN-00-2033633,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.8281115|40.924368,1007,361190042001007,Block 1007,U,63217,U,S,27,88,36,119,4200,36119004200,Census Tract 42,NY,Westchester County,New York,1989,"MOUNT VERNON,NY,10552-2222","10552-2222, Mount Vernon, New York",-73.8281115,40.924368,PostalExt,100,M
EIN-00-2033847,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-74.08942|40.838965,4004,340030050004004,Block 4004,U,63217,U,S,27,51,34,3,5000,34003005000,Census Tract 50,NJ,Bergen County,New Jersey,1989,"CARLSTADT,NJ,07072-2696","07072, Carlstadt, New Jersey",-74.08942,40.838965,Postal,100,M
EIN-00-2034006,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.95433|40.879175,3002,340030160003002,Block 3002,U,63217,U,S,12,34,34,3,16000,34003016000,Census Tract 160,NJ,Bergen County,New Jersey,1989,"ENGLEWOOD CLIFFS,NJ,07632-0000","07632, Englewood Cliffs, New Jersey",-73.95433,40.879175,Postal,100,M
EIN-00-2034008,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.959912|40.776849,2001,360610142002001,Block 2001,U,63217,U,S,212,338,36,61,14200,36061014200,Census Tract 142,NY,New York County,New York,1989,"NEW YORK,NY,10028-0209","10028-0209, New York, New York",-73.959912,40.776849,PostalExt,100,M
EIN-00-2034024,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-74.686698|40.62312,2002,340350536042002,Block 2002,R,,,S,115,335,34,35,53604,34035053604,Census Tract 536.04,NJ,Somerset County,New Jersey,1989,"SOMERVILLE,NJ,08876-3366","08876-3366, Somerville, New Jersey",-74.686698,40.62312,PostalExt,100,M
EIN-00-2034045,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.718109|40.97205,2024,361190084032024,Block 2024,U,63217,U,S,33,88,36,119,8403,36119008403,Census Tract 84.03,NY,Westchester County,New York,1989,"HARRISON,NY,10528-0163","10528-0163, Harrison, New York",-73.718109,40.97205,PostalExt,100,M
EIN-00-2034059,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-74.318301|40.726008,2015,340130200002015,Block 2015,U,63217,U,S,25,80,34,13,20000,34013020000,Census Tract 200,NJ,Essex County,New Jersey,1989,"SHORT HILLS,NJ,07078-3411","07078-3411, Short Hills, New Jersey",-74.318301,40.726008,PostalExt,100,M
EIN-00-2034074,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.985589|40.746726,5003,360610074005003,Block 5003,U,63217,U,S,166,225,36,61,7400,36061007400,Census Tract 74,NY,New York County,New York,2010,"307 5TH AVE STE 8TH FLR,NEW YORK,NY,10016","307 5th Ave, New York, New York, 10016",-73.985589,40.746726,PointAddress,99.06,M
EIN-00-2034118,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.9805895|40.751118,2003,360610082002003,Block 2003,U,63217,U,S,167,225,36,61,8200,36061008200,Census Tract 82,NY,New York County,New York,1989,"NEW YORK,NY,10016-0601","10016-0601, New York, New York",-73.9805895,40.751118,PostalExt,100,M
EIN-00-2034176,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-74.50341|40.5733450000001,1013,340230001021013,Block 1013,U,63217,U,S,19,58,34,23,102,34023000102,Census Tract 1.02,NJ,Middlesex County,New Jersey,1989,"MIDDLESEX,NJ,08846-0000","08846, Middlesex, New Jersey",-74.50341,40.5733450000001,Postal,100,M
EIN-00-2034450,176,16980,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",M1,-87.87141|42.010812,3018,170318065023018,Block 3018,U,16264,U,S,7,33,17,31,806502,17031806502,Census Tract 8065.02,IL,Cook County,Illinois,1989,"DES PLAINES,IL,60018-3212","60018-3212, Des Plaines, Illinois",-87.87141,42.010812,PostalExt,100,M
EIN-00-2034469,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.9744515|40.762413,1003,360610112011003,Block 1003,U,63217,U,S,302,361,36,61,11201,36061011201,Census Tract 112.01,NY,New York County,New York,1989,"NEW YORK,NY,10019-4107","10019-4107, New York, New York",-73.9744515,40.762413,PostalExt,100,M
EIN-00-2034707,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.987029|40.754052,1007,360610113001007,Block 1007,U,63217,U,S,0,0,36,61,11300,36061011300,Census Tract 113,NY,New York County,New York,1989,"NEW YORK,NY,10018-3404","10018-3404, New York, New York",-73.987029,40.754052,PostalExt,100,M
EIN-00-2034739,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.8424485|40.688586,1002,360810114001002,Block 1002,U,63217,U,S,0,0,36,81,11400,36081011400,Census Tract 114,NY,Queens County,New York,1989,"NY,NY,10177-0001","10177-0001, New York, New York",-73.8424485,40.688586,PostalExt,100,M
EIN-00-2034828,288,26420,"Houston-The Woodlands-Sugar Land, TX","Houston-The Woodlands-Sugar Land, TX Metro Area",M1,-95.36788|29.7444,1029,482013125011029,Block 1029,U,40429,U,S,0,0,48,201,312501,48201312501,Census Tract 3125.01,TX,Harris County,Texas,1989,"HOUSTON,TX,77001-0000","77001, Houston, Texas",-95.36788,29.7444,Postal,100,M
EIN-00-2034869,348,31080,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA Metro Area",M1,-118.331975|34.0997600000001,1005,60371907011005,Block 1005,U,51445,U,S,52,115,6,37,190701,6037190701,Census Tract 1907.01,CA,Los Angeles County,California,1989,"HOLLYWOOD,CA,90028-0000","90028, Los Angeles, California",-118.331975,34.0997600000001,Postal,99.9,M
EIN-00-2034947,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-74.110221|40.747788,4048,340170127004048,Block 4048,U,63217,U,S,0,0,34,17,12700,34017012700,Census Tract 127,NJ,Hudson County,New Jersey,1989,"KEARNY,NJ,07032-4308","07032-4308, Kearny, New Jersey",-74.110221,40.747788,PostalExt,100,M
EIN-00-2034961,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-74.0596005|41.082516,2013,360870125032013,Block 2013,U,63217,U,S,14,35,36,87,12503,36087012503,Census Tract 125.03,NY,Rockland County,New York,1989,"SPRING VALLEY,NY,10977-6305","10977-6305, Spring Valley, New York",-74.0596005,41.082516,PostalExt,100,M
EIN-00-2034988,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.982905|40.7391650000001,1000,360610064001000,Block 1000,U,63217,U,S,635,1328,36,61,6400,36061006400,Census Tract 64,NY,New York County,New York,1989,"NEW YORK,NY,10010-0000","10010, New York, New York",-73.982905,40.7391650000001,Postal,100,M
EIN-00-2035005,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.973605|40.75192,1000,360610088001000,Block 1000,U,63217,U,S,613,741,36,61,8800,36061008800,Census Tract 88,NY,New York County,New York,1989,"NEW YORK,NY,10017-0000","10017, New York, New York",-73.973605,40.75192,Postal,100,M
EIN-00-2035096,148,14460,"Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area",M1,-70.8587595|42.666462,3011,250092233003011,Block 3011,U,41657,U,S,18,42,25,9,223300,25009223300,Census Tract 2233,MA,Essex County,Massachusetts,1989,"IPSWICH,MA,01938-1608","01938-1608, Ipswich, Massachusetts",-70.8587595,42.666462,PostalExt,100,M
EIN-00-2035103,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.972872|40.749993,1002,360610088001002,Block 1002,U,63217,U,S,4,31,36,61,8800,36061008800,Census Tract 88,NY,New York County,New York,1989,"NEW YORK,NY,10017-5804","10017-5804, New York, New York",-73.972872,40.749993,PostalExt,100,M
EIN-00-2035110,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-72.3554229|41.0783531000001,4076,361031803004076,Block 4076,R,,,S,7,12,36,103,180300,36103180300,Census Tract 1803,NY,Suffolk County,New York,2010,"PO BOX 3014,SHELTER IS HT,NY,11965","11965, Shelter Island Heights, New York",-72.3554229,41.0783531000001,Postal,98,M
EIN-00-2035227,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-74.025549|40.773789,1000,340170165001000,Block 1000,U,63217,U,S,133,347,34,17,16500,34017016500,Census Tract 165,NJ,Hudson County,New Jersey,1989,"UNION CITY,NJ,07087-4884","07087-4884, Union City, New Jersey",-74.025549,40.773789,PostalExt,100,M
EIN-00-2035229,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.9767915|40.750299,1001,360610080001001,Block 1001,U,63217,U,S,0,0,36,61,8000,36061008000,Census Tract 80,NY,New York County,New York,1989,"NEW YORK,NY,10017-6603","10017-6603, New York, New York",-73.9767915,40.750299,PostalExt,100,M
EIN-00-2035316,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.986102|40.746204,3000,360610074003000,Block 3000,U,63217,U,S,71,435,36,61,7400,36061007400,Census Tract 74,NY,New York County,New York,1989,"NEW YORK,NY,10016-7103","10016-7103, New York, New York",-73.986102,40.746204,PostalExt,100,M
EIN-00-2035338,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.9678095|40.760478,1001,360610112031001,Block 1001,U,63217,U,S,307,458,36,61,11203,36061011203,Census Tract 112.03,NY,New York County,New York,1989,"NEW YORK,NY,10022-2104","10022-2104, New York, New York",-73.9678095,40.760478,PostalExt,100,M
EIN-00-2035370,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.99395|40.754799,1001,360610111001001,Block 1001,U,63217,U,S,329,895,36,61,11100,36061011100,Census Tract 111,NY,New York County,New York,1989,"NEW YORK,NY,10018-2506","10018-2506, New York, New York",-73.99395,40.754799,PostalExt,100,M
EIN-00-2035455,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-74.0038974999999|40.8330759,4003,340030451024003,Block 4003,U,63217,U,S,42,129,34,3,45102,34003045102,Census Tract 451.02,NJ,Bergen County,New Jersey,1989,"RIDGEFIELD,NJ,07657-2191","07657, Ridgefield, New Jersey",-74.0038974999999,40.8330759,Postal,100,M
EIN-00-2035543,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-74.229552|40.865976,5007,340130213005007,Block 5007,U,63217,U,S,305,612,34,13,21300,34013021300,Census Tract 213,NJ,Essex County,New Jersey,1989,"CEDAR GROVE,NJ,07009-1240","07009-1240, Cedar Grove, New Jersey",-74.229552,40.865976,PostalExt,100,M
EIN-00-2035550,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.987495|40.76615,3001,360610139003001,Block 3001,U,63217,U,S,565,806,36,61,13900,36061013900,Census Tract 139,NY,New York County,New York,1989,"NEW YORK,NY,10019-0000","10019, New York, New York",-73.987495,40.76615,Postal,100,M
EIN-00-2035571,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-74.399112|40.731786,3000,340270439003000,Block 3000,U,63217,U,S,24,95,34,27,43900,34027043900,Census Tract 439,NJ,Morris County,New Jersey,1989,"CHATHAM,NJ,07928-0232","07928-0232, Chatham, New Jersey",-74.399112,40.731786,PostalExt,100,M
EIN-00-2035638,556,48620,"Wichita, KS","Wichita, KS Metro Area",M1,-97.3408905|37.68606,1031,201730043021031,Block 1031,U,95077,U,S,0,0,20,173,4302,20173004302,Census Tract 43.02,KS,Sedgwick County,Kansas,1989,"WICHITA,KS,67202-2915","67202-2915, Wichita, Kansas",-97.3408905,37.68606,PostalExt,100,M
EIN-00-2035732,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-74.0039985|40.727682,2005,360610037002005,Block 2005,U,63217,U,S,255,350,36,61,3700,36061003700,Census Tract 37,NY,New York County,New York,1989,"NEW YORK,NY,10014-4960","10014-4960, New York, New York",-74.0039985,40.727682,PostalExt,100,M
EIN-00-2035793,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.759788|41.02263,2000,361190095002000,Block 2000,U,63217,U,S,248,486,36,119,9500,36119009500,Census Tract 95,NY,Westchester County,New York,1989,"WHITE PLAINS,NY,10605-1830","10605-1830, White Plains, New York",-73.759788,41.02263,PostalExt,100,M
